lyrics,label,cleaned_lyrics,preprocessed_lyrics
talking new york ramblin outa the wild west leavin the towns i love the best thought id seen some ups and downs til i come into new york town people goin down to the ground buildings goin up to the sky wintertime in new york town the wind blowin snow around walk around with nowhere to go somebody could freeze right to the bone i froze right to the bone new york times said it was the coldest winter in seventeen years i didnt feel so cold then i swung onto my old guitar grabbed hold of a subway car and after a rocking reeling rolling ride i landed up on the downtown side greenwich village i walked down there and ended up in one of them coffeehouses on the block got on the stage to sing and play man there said “come back some other day you sound like a hillbilly we want folk singers here” well i got a harmonica job begun to play blowin my lungs out for a dollar a day i blowed inside out and upside down the man there said he loved m sound he was ravin about how he loved m sound dollar a days worth and after weeks and weeks of hangin around i finally got a job in new york town in a bigger place bigger money too even joined the union and paid m dues now a very great man once said that some people rob you with a fountain pen it didnt take too long to find out just what he was talkin about a lot of people dont have much food on their table but they got a lot of forks n knives and they gotta cut somethin so one mornin when the sun was warm i rambled out of new york town pulled my cap down over my eyes and headed out for the western skies so long new york howdy east orange,dylan,talking new york ramblin outa the wild west leavin the towns i love the best thought id seen some ups and downs til i come into new york town people goin down to the ground buildings goin up to the sky wintertime in new york town the wind blowin snow around walk around with nowhere to go somebody could freeze right to the bone i froze right to the bone new york times said it was the coldest winter in seventeen years i didnt feel so cold then i swung onto my old guitar grabbed hold of a subway car and after a rocking reeling rolling ride i landed up on the downtown side greenwich village i walked down there and ended up in one of them coffeehouses on the block got on the stage to sing and play man there said “come back some other day you sound like a hillbilly we want folk singers here” well i got a harmonica job begun to play blowin my lungs out for a dollar a day i blowed inside out and upside down the man there said he loved m sound he was ravin about how he loved m sound dollar a days worth and after weeks and weeks of hangin around i finally got a job in new york town in a bigger place bigger money too even joined the union and paid m dues now a very great man once said that some people rob you with a fountain pen it didnt take too long to find out just what he was talkin about a lot of people dont have much food on their table but they got a lot of forks n knives and they gotta cut somethin so one mornin when the sun was warm i rambled out of new york town pulled my cap down over my eyes and headed out for the western skies so long new york howdy east orange,talk new york ramblin outa wild west leavin town love best thought id see ups down til come new york town people goin ground building goin sky wintertime new york town wind blowin snow around walk around nowhere go somebody could freeze right bone froze right bone new york time say cold winter seventeen year didnt feel cold swung onto old guitar grab hold subway car rock reel roll ride land downtown side greenwich village walk end one coffeehouses block get stage sing play man say “ come back day sound like hillbilly want folk singer ” well got harmonica job begin play blowin lung dollar day blow inside upside man say love sound ravin love sound dollar day worth week week hangin around finally get job new york town big place big money even join union pay dues great man say people rob fountain pen didnt take long find talkin lot people dont much food table get lot forks n knife get ta cut somethin one mornin sun warm ramble new york town pull cap eye head western sky long new york howdy east orange
song to woody im out here a thousand miles from my home walkin a road other men have gone down im seein your world of people and things your paupers and peasants and princes and kings hey hey woody guthrie i wrote you a song bout a funny ol world thats acomin along seems sick an its hungry its tired an its torn it looks like its adyin an its hardly been born hey woody guthrie but i know that you know all the things that im asayin an amany times more im asingin you the song but i cant sing enough cause theres not many men that done the things that youve done heres to cisco an sonny an leadbelly too an to all the good people that traveled with you heres to the hearts and the hands of the men that come with the dust and are gone with the wind im aleavin tomorrow but i could leave today somewhere down the road someday the very last thing that id want to do is to say ive been hittin some hard travelin too,dylan,song to woody im out here a thousand miles from my home walkin a road other men have gone down im seein your world of people and things your paupers and peasants and princes and kings hey hey woody guthrie i wrote you a song bout a funny ol world thats acomin along seems sick an its hungry its tired an its torn it looks like its adyin an its hardly been born hey woody guthrie but i know that you know all the things that im asayin an amany times more im asingin you the song but i cant sing enough cause theres not many men that done the things that youve done heres to cisco an sonny an leadbelly too an to all the good people that traveled with you heres to the hearts and the hands of the men that come with the dust and are gone with the wind im aleavin tomorrow but i could leave today somewhere down the road someday the very last thing that id want to do is to say ive been hittin some hard travelin too,song woody im thousand mile home walkin road men go im seein world people thing pauper peasant prince king hey hey woody guthrie write song bout funny ol world thats acomin along seem sick hungry tire torn look like adyin hardly bear hey woody guthrie know know thing im asayin amany time im asingin song cant sing enough cause theres many men do thing youve do here cisco sonny leadbelly good people travel here heart hand men come dust go wind im aleavin tomorrow could leave today somewhere road someday last thing id want say ive hittin hard travelin
hard times in new york town come you ladies and you gentlemen alisten to my song sing it to you right but you might think its wrong just a little glimpse of a story ill tell bout an east coast city that you all know well its hard times in the city livin down in new york town old new york city is a friendly old town from washington heights to harlem on down theres amighty many people all millin all around theyll kick you when youre up and knock you when youre down its hard times in the city livin down in new york town its a mighty long ways from the golden gate to rockefeller plaza n the empire state mister rockefeller sets up as high as a bird old mister empire never says a word its hard times from the country livin down in new york town well its up in the mornin tryin to find a job of work stand in one place till your feet begin to hurt if you got a lot o money you can make yourself merry if you only got a nickel its the staten island ferry and its hard times in the city livin down in new york town mister hudson come asailin down the stream and old mister minuet paid for his dream bought your city on a oneway track f i had my way id sell it right back and its hard times in the city livin down in new york town ill take all the smog in californeay n every bit of dust in the oklahoma plains n the dirt in the caves of the rocky mountain mines its all much cleaner than the new york kind and its hard times in the city livin down in new york town so all you newsy people spread the news around you cn listen to m story listen to m song you cn step on my name you cn try n get me beat when i leave new york ill be standin on my feet and its hard times in the city livin down in new york town,dylan,hard times in new york town come you ladies and you gentlemen alisten to my song sing it to you right but you might think its wrong just a little glimpse of a story ill tell bout an east coast city that you all know well its hard times in the city livin down in new york town old new york city is a friendly old town from washington heights to harlem on down theres amighty many people all millin all around theyll kick you when youre up and knock you when youre down its hard times in the city livin down in new york town its a mighty long ways from the golden gate to rockefeller plaza n the empire state mister rockefeller sets up as high as a bird old mister empire never says a word its hard times from the country livin down in new york town well its up in the mornin tryin to find a job of work stand in one place till your feet begin to hurt if you got a lot o money you can make yourself merry if you only got a nickel its the staten island ferry and its hard times in the city livin down in new york town mister hudson come asailin down the stream and old mister minuet paid for his dream bought your city on a oneway track f i had my way id sell it right back and its hard times in the city livin down in new york town ill take all the smog in californeay n every bit of dust in the oklahoma plains n the dirt in the caves of the rocky mountain mines its all much cleaner than the new york kind and its hard times in the city livin down in new york town so all you newsy people spread the news around you cn listen to m story listen to m song you cn step on my name you cn try n get me beat when i leave new york ill be standin on my feet and its hard times in the city livin down in new york town,hard time new york town come lady gentleman alisten song sing right might think wrong little glimpse story ill tell bout east coast city know well hard time city livin new york town old new york city friendly old town washington height harlem theres amighty many people millin around theyll kick youre knock youre hard time city livin new york town mighty long way golden gate rockefeller plaza n empire state mister rockefeller set high bird old mister empire never say word hard time country livin new york town well mornin tryin find job work stand one place till foot begin hurt get lot money make merry get nickel staten island ferry hard time city livin new york town mister hudson come asailin stream old mister minuet pay dream buy city oneway track f way id sell right back hard time city livin new york town ill take smog californeay n every bit dust oklahoma plain n dirt cave rocky mountain mine much clean new york kind hard time city livin new york town newsy people spread news around cn listen story listen song cn step name cn try n get beat leave new york ill standin foot hard time city livin new york town
talking bear mountain picnic massacre blues i saw it advertised one day bear mountain picnic was comin my way “come along n take a trip well bring you up there on a ship bring the wife and kids bring the whole family” yippee well i run right down n bought a ticket to this bear mountain picnic but little did i realize i was in for a picnic surprise had nothin to do with mountains i didnt even come close to a bear took the wife n kids down to the pier six thousand people there everybody had a ticket for the trip “oh well” i said “its a pretty big ship besides anyway the more the merrier” well we all got on n what dya think that big old boat started t sink more people kept apilin on that old ship was aslowly goin down funny way t start a picnic well i soon lost track of m kids n wife so many people there i never saw in m life that old ship sinkin down in the water six thousand people tryin t kill each other dogs abarkin cats ameowin women screamin fists aflyin babies cryin cops acomin me arunnin maybe we just better call off the picnic i got shoved down n pushed around all i could hear there was a screamin sound dont remember one thing more just remember wakin up on a little shore head busted stomach cracked feet splintered i was bald naked quite lucky to be alive though feelin like i climbed outa m casket i grabbed back hold of m picnic basket took the wife n kids n started home wishin id never got up that morn now i dont care just what you do if you wanta have a picnic thats up t you but dont tell me about it i dont wanta hear it cause see i just lost all m picnic spirit stay in m kitchen have m own picnic in the bathroom now it dont seem to me quite so funny what some people are gonna do fr money theres a bran new gimmick every day just t take somebodys money away i think we oughta take some o these people and put em on a boat send em up to bear mountain for a picnic,dylan,talking bear mountain picnic massacre blues i saw it advertised one day bear mountain picnic was comin my way “come along n take a trip well bring you up there on a ship bring the wife and kids bring the whole family” yippee well i run right down n bought a ticket to this bear mountain picnic but little did i realize i was in for a picnic surprise had nothin to do with mountains i didnt even come close to a bear took the wife n kids down to the pier six thousand people there everybody had a ticket for the trip “oh well” i said “its a pretty big ship besides anyway the more the merrier” well we all got on n what dya think that big old boat started t sink more people kept apilin on that old ship was aslowly goin down funny way t start a picnic well i soon lost track of m kids n wife so many people there i never saw in m life that old ship sinkin down in the water six thousand people tryin t kill each other dogs abarkin cats ameowin women screamin fists aflyin babies cryin cops acomin me arunnin maybe we just better call off the picnic i got shoved down n pushed around all i could hear there was a screamin sound dont remember one thing more just remember wakin up on a little shore head busted stomach cracked feet splintered i was bald naked quite lucky to be alive though feelin like i climbed outa m casket i grabbed back hold of m picnic basket took the wife n kids n started home wishin id never got up that morn now i dont care just what you do if you wanta have a picnic thats up t you but dont tell me about it i dont wanta hear it cause see i just lost all m picnic spirit stay in m kitchen have m own picnic in the bathroom now it dont seem to me quite so funny what some people are gonna do fr money theres a bran new gimmick every day just t take somebodys money away i think we oughta take some o these people and put em on a boat send em up to bear mountain for a picnic,talk bear mountain picnic massacre blue saw advertised one day bear mountain picnic comin way “ come along n take trip well bring ship bring wife kid bring whole family ” yippee well run right n buy ticket bear mountain picnic little realize picnic surprise nothin mountains didnt even come close bear take wife n kid pier six thousand people everybody ticket trip “ oh well ” say “ pretty big ship besides anyway merry ” well get n dya think big old boat start sink people keep apilin old ship aslowly goin funny way start picnic well soon lose track kid n wife many people never saw life old ship sinkin water six thousand people tryin kill dog abarkin cat ameowin woman screamin fist aflyin baby cryin cop acomin arunnin maybe well call picnic got shove n push around could hear screamin sound dont remember one thing remember wakin little shore head bust stomach crack foot splinter bald naked quite lucky alive though feelin like climb outa casket grab back hold picnic basket take wife n kid n start home wishin id never get morn dont care wanta picnic thats dont tell dont wanta hear cause see lose picnic spirit stay kitchen picnic bathroom dont seem quite funny people gon na fr money there bran new gimmick every day take somebodys money away think oughta take people put em boat send em bear mountain picnic
rambling gambling willie come around you rovin gamblers and a story i will tell about the greatest gambler you all should know him well his name was will oconley and he gambled all his life he had twentyseven children yet he never had a wife and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows he gambled in the white house and in the railroad yards wherever there was people there was willie and his cards he had the reputation as the gamblinest man around wives would keep their husbands home when willie came to town and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows sailin down the mississippi to a town called new orleans theyre still talkin about their card game on that jackson river queen “ive come to win some money” gamblin willie says when the game finally ended up the whole damn boat was his and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows up in the rocky mountains in a town called cripple creek there was an allnight poker game lasted about a week nine hundred miners had laid their money down when willie finally left the room he owned the whole damn town and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows but willie had a heart of gold and this i know is true he supported all his children and all their mothers too he wore no rings or fancy things like other gamblers wore he spread his money far and wide to help the sick and the poor and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows when you played your cards with willie you never really knew whether he was bluffin or whether he was true he won a fortune from a man who folded in his chair the man he left a diamond flush willie didnt even have a pair and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows it was late one evenin during a poker game a man lost all his money he said willie was to blame he shot poor willie through the head which was a tragic fate when willies cards fell on the floor they were aces backed with eights and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows so all you rovin gamblers wherever you might be the moral of the story is very plain to see make your money while you can before you have to stop for when you pull that dead mans hand your gamblin days are up and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows,dylan,rambling gambling willie come around you rovin gamblers and a story i will tell about the greatest gambler you all should know him well his name was will oconley and he gambled all his life he had twentyseven children yet he never had a wife and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows he gambled in the white house and in the railroad yards wherever there was people there was willie and his cards he had the reputation as the gamblinest man around wives would keep their husbands home when willie came to town and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows sailin down the mississippi to a town called new orleans theyre still talkin about their card game on that jackson river queen “ive come to win some money” gamblin willie says when the game finally ended up the whole damn boat was his and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows up in the rocky mountains in a town called cripple creek there was an allnight poker game lasted about a week nine hundred miners had laid their money down when willie finally left the room he owned the whole damn town and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows but willie had a heart of gold and this i know is true he supported all his children and all their mothers too he wore no rings or fancy things like other gamblers wore he spread his money far and wide to help the sick and the poor and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows when you played your cards with willie you never really knew whether he was bluffin or whether he was true he won a fortune from a man who folded in his chair the man he left a diamond flush willie didnt even have a pair and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows it was late one evenin during a poker game a man lost all his money he said willie was to blame he shot poor willie through the head which was a tragic fate when willies cards fell on the floor they were aces backed with eights and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows so all you rovin gamblers wherever you might be the moral of the story is very plain to see make your money while you can before you have to stop for when you pull that dead mans hand your gamblin days are up and its ride willie ride roll willie roll wherever you are agamblin now nobody really knows,ramble gamble willie come around rovin gambler story tell great gambler know well name oconley gambled life twentyseven child yet never wife ride willie ride roll willie roll wherever agamblin nobody really know gambled white house railroad yard wherever people willie card reputation gamblinest man around wife would keep husband home willie come town ride willie ride roll willie roll wherever agamblin nobody really know sailin mississippi town call new orleans theyre still talkin card game jackson river queen “ ive come win money ” gamblin willie say game finally end whole damn boat ride willie ride roll willie roll wherever agamblin nobody really know rocky mountain town call cripple creek allnight poker game last week nine hundred miner lay money willie finally leave room own whole damn town ride willie ride roll willie roll wherever agamblin nobody really know willie heart gold know true supported child mother wear ring fancy thing like gambler wear spread money far wide help sick poor ride willie ride roll willie roll wherever agamblin nobody really know play card willie never really know whether bluffin whether true fortune man fold chair man leave diamond flush willie didnt even pair ride willie ride roll willie roll wherever agamblin nobody really know late one evenin poker game man lose money say willie blame shot poor willie head tragic fate willies card fell floor ace back eight ride willie ride roll willie roll wherever agamblin nobody really know rovin gambler wherever might moral story plain see make money stop pull dead man hand gamblin day ride willie ride roll willie roll wherever agamblin nobody really know
standing on the highway well im standin on the highway tryin to bum a ride tryin to bum a ride tryin to bum a ride well im standin on the highway tryin to bum a ride tryin to bum a ride tryin to bum a ride nobody seem to know me everybody pass me by well im standin on the highway tryin to hold up tryin to hold up tryin to hold up and be brave well im standin on the highway tryin to hold up tryin to hold up and be brave one roads goin to the bright lights the others goin down to my grave well im lookin down at two cards they seem to be handmade well im lookin down at two cards they seem to be handmade one looks like its the ace of diamonds the other looks like it is the ace of spades well im standin on the highway watchin my life roll by well im standin on the highway watchin my life roll by well im standin on the highway tryin to bum a ride well im standin on the highway wonderin where everybody went wonderin where everybody went wonderin where everybody went well im standin on the highway wonderin where everybody went wonderin where everybody went wonderin where everybody went please mister pick me up i swear i aint gonna kill nobodys kids i wonder if my good gal i wonder if she knows im here nobody else seems to know im here i wonder if my good gal i wonder if she knows im here nobody else seems to know im here if she knows im here lawd i wonder if she said a prayer,dylan,standing on the highway well im standin on the highway tryin to bum a ride tryin to bum a ride tryin to bum a ride well im standin on the highway tryin to bum a ride tryin to bum a ride tryin to bum a ride nobody seem to know me everybody pass me by well im standin on the highway tryin to hold up tryin to hold up tryin to hold up and be brave well im standin on the highway tryin to hold up tryin to hold up and be brave one roads goin to the bright lights the others goin down to my grave well im lookin down at two cards they seem to be handmade well im lookin down at two cards they seem to be handmade one looks like its the ace of diamonds the other looks like it is the ace of spades well im standin on the highway watchin my life roll by well im standin on the highway watchin my life roll by well im standin on the highway tryin to bum a ride well im standin on the highway wonderin where everybody went wonderin where everybody went wonderin where everybody went well im standin on the highway wonderin where everybody went wonderin where everybody went wonderin where everybody went please mister pick me up i swear i aint gonna kill nobodys kids i wonder if my good gal i wonder if she knows im here nobody else seems to know im here i wonder if my good gal i wonder if she knows im here nobody else seems to know im here if she knows im here lawd i wonder if she said a prayer,stand highway well im standin highway tryin bum ride tryin bum ride tryin bum ride well im standin highway tryin bum ride tryin bum ride tryin bum ride nobody seem know everybody pas well im standin highway tryin hold tryin hold tryin hold brave well im standin highway tryin hold tryin hold brave one road goin bright light others goin grave well im lookin two card seem handmade well im lookin two card seem handmade one look like ace diamond look like ace spade well im standin highway watchin life roll well im standin highway watchin life roll well im standin highway tryin bum ride well im standin highway wonderin everybody go wonderin everybody go wonderin everybody go well im standin highway wonderin everybody go wonderin everybody go wonderin everybody go please mister pick swear aint gon na kill nobodys kid wonder good gal wonder know im nobody else seem know im wonder good gal wonder know im nobody else seem know im know im lawd wonder say prayer
poor boy blues mm tell mama whered ya sleep last night caint ya hear me cryin hm hm hm hey tell me baby whats the matter here caint ya hear me cryin hm hm hm hey stop you ol train let a poor boy ride caint ya hear me cryin hm hm hm hey mister bartender i swear im not too young caint ya hear me cryin hm hm hm blow your whistle policeman my poor feet are trained to run caint ya hear me cryin hm hm hm longdistance operator i hear this phone call is on the house caint ya hear me cryin hm hm hm ashes and diamonds the diffrence i caint see caint ya hear me cryin hm hm hm mister judge and jury caint you see the shape im in dont ya hear me cryin hm hm hm mississippi river you arunnin too fast for me caint ya hear me cryin hm hm hm,dylan,poor boy blues mm tell mama whered ya sleep last night caint ya hear me cryin hm hm hm hey tell me baby whats the matter here caint ya hear me cryin hm hm hm hey stop you ol train let a poor boy ride caint ya hear me cryin hm hm hm hey mister bartender i swear im not too young caint ya hear me cryin hm hm hm blow your whistle policeman my poor feet are trained to run caint ya hear me cryin hm hm hm longdistance operator i hear this phone call is on the house caint ya hear me cryin hm hm hm ashes and diamonds the diffrence i caint see caint ya hear me cryin hm hm hm mister judge and jury caint you see the shape im in dont ya hear me cryin hm hm hm mississippi river you arunnin too fast for me caint ya hear me cryin hm hm hm,poor boy blue mm tell mama whered ya sleep last night caint ya hear cryin hm hm hm hey tell baby whats matter caint ya hear cryin hm hm hm hey stop ol train let poor boy ride caint ya hear cryin hm hm hm hey mister bartender swear im young caint ya hear cryin hm hm hm blow whistle policeman poor foot train run caint ya hear cryin hm hm hm longdistance operator hear phone call house caint ya hear cryin hm hm hm ash diamonds diffrence caint see caint ya hear cryin hm hm hm mister judge jury caint see shape im dont ya hear cryin hm hm hm mississippi river arunnin fast caint ya hear cryin hm hm hm
ballad for a friend sad im asittin on the railroad track watchin that old smokestack train is aleavin but it wont be back years ago we hung around watchin trains roll through the town now that train is agraveyard bound where we go up in that north country lakes and streams and mines so free i had no better friend than he something happened to him that day i thought i heard a stranger say i hung my head and stole away a diesel truck was rollin slow pullin down a heavy load it left him on a utah road they carried him back to his home town his mother cried his sister moaned listenin to them church bells tone,dylan,ballad for a friend sad im asittin on the railroad track watchin that old smokestack train is aleavin but it wont be back years ago we hung around watchin trains roll through the town now that train is agraveyard bound where we go up in that north country lakes and streams and mines so free i had no better friend than he something happened to him that day i thought i heard a stranger say i hung my head and stole away a diesel truck was rollin slow pullin down a heavy load it left him on a utah road they carried him back to his home town his mother cried his sister moaned listenin to them church bells tone,ballad friend sad im asittin railroad track watchin old smokestack train aleavin wont back year ago hang around watchin train roll town train agraveyard bound go north country lake stream mine free good friend something happen day think heard strange say hung head steal away diesel truck rollin slow pullin heavy load leave utah road carry back home town mother cry sister moan listenin church bell tone
man on the street ill sing you a song aint very long bout an old man who never done wrong how he died nobody can say they found him dead in the street one day well the crowd they gathered one fine morn at the man whose clothes n shoes were torn there on the sidewalk he did lay they stopped n stared n walked their way well the pliceman come and he looked around “get up old man or im atakin you down” he jabbed him once with his billy club and the old man then rolled off the curb well he jabbed him again and loudly said “call the wagon this man is dead” the wagon come they loaded him in i never saw the man again ive sung you my song it aint very long bout an old man who never done wrong how he died no one can say they found him dead in the street one day,dylan,man on the street ill sing you a song aint very long bout an old man who never done wrong how he died nobody can say they found him dead in the street one day well the crowd they gathered one fine morn at the man whose clothes n shoes were torn there on the sidewalk he did lay they stopped n stared n walked their way well the pliceman come and he looked around “get up old man or im atakin you down” he jabbed him once with his billy club and the old man then rolled off the curb well he jabbed him again and loudly said “call the wagon this man is dead” the wagon come they loaded him in i never saw the man again ive sung you my song it aint very long bout an old man who never done wrong how he died no one can say they found him dead in the street one day,man street ill sing song aint long bout old man never do wrong die nobody say find dead street one day well crowd gather one fine morn man whose clothes n shoe torn sidewalk lay stop n star n walked way well pliceman come look around “ get old man im atakin ” jab billy club old man roll curb well jab loudly say “ call wagon man dead ” wagon come load never saw man ive sung song aint long bout old man never do wrong die one say find dead street one day
talkin john birch paranoid blues well i was feelin sad and feelin blue i didnt know what in the world i wus gonna do them communists they wus comin around they wus in the air they wus on the ground they wouldnt gimme no peace so i run down most hurriedly and joined up with the john birch society i got me a secret membership card and started off awalkin down the road yeehoo im a real john bircher now look out you commies now we all agree with hitlers views although he killed six million jews it dont matter too much that he was a fascist at least you cant say he was a communist thats to say like if you got a cold you take a shot of malaria well i wus lookin everywhere for them goldarned reds i got up in the mornin n looked under my bed looked in the sink behind the door looked in the glove compartment of my car couldnt find em i wus lookin high an low for them reds everywhere i wus lookin in the sink an underneath the chair i looked way up my chimney hole i even looked deep down inside my toilet bowl they got away well i wus sittin home alone an started to sweat figured they wus in my tv set peeked behind the picture frame got a shock from my feet hittin right up in the brain them reds caused it i know they did them hardcore ones well i quit my job so i could work all alone then i changed my name to sherlock holmes followed some clues from my detective bag and discovered they wus red stripes on the american flag that ol betsy ross well i investigated all the books in the library ninety percent of em gotta be burned away i investigated all the people that i knowed ninetyeight percent of them gotta go the other two percent are fellow birchers just like me now eisenhower hes a russian spy lincoln jefferson and that roosevelt guy to my knowledge theres just one man thats really a true american george lincoln rockwell i know for a fact he hates commies cus he picketed the movie exodus well i finly started thinkin straight when i run outa things to investigate couldnt imagine doin anything else so now im sittin home investigatin myself hope i dont find out anything hmm great god,dylan,talkin john birch paranoid blues well i was feelin sad and feelin blue i didnt know what in the world i wus gonna do them communists they wus comin around they wus in the air they wus on the ground they wouldnt gimme no peace so i run down most hurriedly and joined up with the john birch society i got me a secret membership card and started off awalkin down the road yeehoo im a real john bircher now look out you commies now we all agree with hitlers views although he killed six million jews it dont matter too much that he was a fascist at least you cant say he was a communist thats to say like if you got a cold you take a shot of malaria well i wus lookin everywhere for them goldarned reds i got up in the mornin n looked under my bed looked in the sink behind the door looked in the glove compartment of my car couldnt find em i wus lookin high an low for them reds everywhere i wus lookin in the sink an underneath the chair i looked way up my chimney hole i even looked deep down inside my toilet bowl they got away well i wus sittin home alone an started to sweat figured they wus in my tv set peeked behind the picture frame got a shock from my feet hittin right up in the brain them reds caused it i know they did them hardcore ones well i quit my job so i could work all alone then i changed my name to sherlock holmes followed some clues from my detective bag and discovered they wus red stripes on the american flag that ol betsy ross well i investigated all the books in the library ninety percent of em gotta be burned away i investigated all the people that i knowed ninetyeight percent of them gotta go the other two percent are fellow birchers just like me now eisenhower hes a russian spy lincoln jefferson and that roosevelt guy to my knowledge theres just one man thats really a true american george lincoln rockwell i know for a fact he hates commies cus he picketed the movie exodus well i finly started thinkin straight when i run outa things to investigate couldnt imagine doin anything else so now im sittin home investigatin myself hope i dont find out anything hmm great god,talkin john birch paranoid blue well feelin sad feelin blue didnt know world wu gon na communist wus comin around wu air wus ground wouldnt gim peace run hurriedly join john birch society get secret membership card start awalkin road yeehoo im real john bircher look commie agree hitler view although kill six million jew dont matter much fascist least cant say communist thats say like get cold take shot malaria well wus lookin everywhere goldarned red get mornin n look bed look sink behind door look glove compartment car couldnt find em wu lookin high low red everywhere wus lookin sink underneath chair look way chimney hole even look deep inside toilet bowl get away well wus sittin home alone start sweat figure wus tv set peek behind picture frame get shock foot hittin right brain red cause know hardcore one well quit job could work alone change name sherlock holmes follow clue detective bag discover wu red stripe american flag ol betsy ross well investigated book library ninety percent em get ta burn away investigated people know ninetyeight percent get ta go two percent fellow birchers like eisenhower he russian spy lincoln jefferson roosevelt guy knowledge theres one man thats really true american george lincoln rockwell know fact hate commie cus picketed movie exodus well finly start thinkin straight run outa thing investigate couldnt imagine doin anything else im sittin home investigatin hope dont find anything hmm great god
